id,price_doc
30474,5527671.912669871
30475,8507795.542521223
30476,5393259.968200629
30477,5812554.500291237
30478,5196418.068471993
30479,8631329.33415177
30480,4556458.550044199
30481,4436847.634434058
30482,4794763.8173591085
30483,4805785.35549102
30484,6106599.9879574375
30485,5072643.921877843
30486,3961636.9368405486
30487,4233213.382548781
30488,6292421.735387576
30489,6119537.245346463
30490,20188008.61598953
30491,15394972.513290934
30492,5941384.80989144
30493,14154656.075176366
30494,7217914.320169684
30495,10388730.757736592
30496,8621815.802504582
30497,8389761.473526724
30498,4568542.685090622
30499,7788003.103341454
30500,11498632.000077087
30501,6556090.22010011
30502,3380907.9478239524
30503,5815416.874859955
30504,6113001.528506205
30505,11202973.779105844
30506,3220149.255038088
30507,4931619.637584083
30508,5427769.441470731
30509,8066341.144311046
30510,8992409.929456636
30511,6475168.913468521
30512,6175997.489611623
30513,4568852.050044199
30514,3910974.335446287
30515,9308579.806920018
30516,5778806.7154883575
30517,10279974.576156378
30518,7290479.390069262
30519,4678070.097429851
30520,6659898.583584636
30521,6087494.723820978
30522,7647300.175009613
30523,6477794.569684252
30524,9365306.441827172
30525,9694418.063782126
30526,5030015.691100478
30527,4911725.3208054835
30528,6449616.415920956
30529,6207328.568809102
30530,6164519.657838684
30531,13883176.994455598
30532,4854647.9538285015
30533,9696605.01709697
30534,7007472.394442175
30535,9221761.288402438
30536,5314555.644336749
30537,11510339.197360132
30538,4939811.239292592
30539,9190888.364008896
30540,9490447.710125204
30541,6118607.101851323
30542,2261340.9634119417
30543,5863865.548628912
30544,7154244.397491729
30545,8354661.3528389735
30546,4352004.186188041
30547,9505984.800015118
30548,4572141.106606157
30549,5541393.088543652
30550,11810917.673341855
30551,5239614.969895951
30552,2151986.694267176
30553,7314686.1281551225
30554,11183355.385618374
30555,6446409.064454133
30556,8646530.059609123
30557,8838111.278145
30558,9479818.03046868
30559,6031663.563216592
30560,5753944.142847115
30561,6997381.039183134
30562,11881034.329673402
30563,4321030.1653872635
30564,7522765.854885473
30565,7022344.200074762
30566,7350559.314116331
30567,2215208.719529098
30568,9561336.823731033
30569,9471018.09609845
30570,6508589.660243767
30571,7324553.411487077
30572,5117342.366678415
30573,6442268.191764442
30574,6639518.60655531
30575,7869303.280539185
30576,4611279.851623151
30577,4199086.958651962
30578,3221270.64397888
30579,7055249.397945009
30580,4716581.890554184
30581,5238254.881782788
30582,11747708.567120805
30583,7269540.046534376
30584,4276299.555847926
30585,3216032.2172391387
30586,8739245.186570521
30587,6029745.177932165
30588,7775779.635233059
30589,8054678.272172341
30590,12521483.902084244
30591,5362758.2743080435
30592,7159809.78408771
30593,8588406.472837726
30594,7117362.261100402
30595,5539590.4133076435
30596,6730814.9971596515
30597,6440620.941764442
30598,9377970.569859637
30599,11039067.037664501
30600,4976661.851413809
30601,6438996.53976992
30602,2108283.942653925
30603,12152183.447782055
30604,4792808.122081358
30605,6552339.581444014
30606,16921899.43731519
30607,6439937.271776684
30608,8821213.42091538
30609,6181270.36782212
30610,3242270.8026773417
30611,5456130.941470731
30612,7434759.994600853
30613,8257766.648602922
30614,17691954.432871547
30615,7360237.244003925
30616,5576091.817616888
30617,9036586.894378247
30618,5106927.871701004
30619,4294528.989289446
30620,2718124.500018946
30621,8610978.597349064
30622,7776764.699620694
30623,5749298.134935244
30624,6964026.352797279
30625,7695854.483991572
30626,6110934.206582196
30627,7724693.0378000215
30628,6326155.4351870185
30629,5059920.072543255
30630,4627705.485464712
30631,6167070.2648835825
30632,4203520.219535069
30633,5857598.048328363
30634,10836437.259249773
30635,9417147.710125204
30636,5408975.028378723
30637,9114421.202488666
30638,6117895.011201138
30639,7562397.540064598
30640,4819894.786199655
30641,8019694.161088808
30642,6090376.72612202
30643,7745222.722086144
30644,9342289.569859637
30645,7197636.417995326
30646,5378494.783466112
30647,4928836.718118912
30648,21834609.72550139
30649,2636322.423101453
30650,5028514.255206384
30651,3247143.661916017
30652,4679640.310188443
30653,7586696.35862442
30654,4423768.952504924
30655,11655771.14680063
30656,3816850.5337980287
30657,6029349.480001262
30658,9492348.820558988
30659,5034916.555905841
30660,8191673.302603675
30661,6465458.337827357
30662,9038619.266583277
30663,14862954.18552607
30664,12399588.300991582
30665,6151556.654161412
30666,2785198.0550326807
30667,4425524.1248977715
30668,9071141.288898336
30669,4953716.441431452
30670,2614360.150780182
30671,7332619.007305972
