id,price_doc_GBRT
30474,5633902.113439006
30475,8287396.831266566
30476,5465193.683202182
30477,5576789.089920255
30478,5103606.320849309
30479,8062592.622889307
30480,4556393.452892655
30481,4432639.251245689
30482,4778653.101562365
30483,4587667.380010478
30484,5860915.04376431
30485,5000360.464631807
30486,3851241.6184481927
30487,3824186.427995027
30488,6126663.269547536
30489,6181526.211989844
30490,19857071.541255593
30491,16249405.929242657
30492,5739750.019195214
30493,13709673.64979161
30494,6958489.382030517
30495,10587268.12748015
30496,8228354.45556405
30497,8770650.4590557
30498,4752161.663775533
30499,8331753.827242783
30500,10747327.44914043
30501,6795082.274645633
30502,3388846.2403356396
30503,6965948.4405779885
30504,6087898.176078048
30505,11474414.796496302
30506,3197122.9422889603
30507,4861532.128454497
30508,5494276.874582675
30509,7640369.145540245
30510,9131696.7096564
30511,6445079.976850437
30512,6671652.800394722
30513,4556393.452892655
30514,3860839.0273762764
30515,9257578.375807725
30516,5849807.976015561
30517,10086668.114613377
30518,7045035.8811489325
30519,4831131.163352025
30520,6365759.4391501425
30521,6139138.7082044855
30522,7983608.904358149
30523,6258718.230314944
30524,9534345.455275701
30525,9231042.852579702
30526,4910753.2299580425
30527,4889844.214622951
30528,6192961.620211859
30529,6249913.096990571
30530,6410539.091069555
30531,13779630.918630486
30532,4910289.437803839
30533,9757840.652178265
30534,6878959.338108985
30535,9330780.220549433
30536,5476507.6137036765
30537,11487695.24233067
30538,5147183.422770978
30539,10083370.551906878
30540,9502301.296816302
30541,6549908.31013696
30542,2293782.3008217197
30543,5934497.857804356
30544,7641905.341211014
30545,7903121.876458556
30546,4291312.4153735675
30547,9058358.068265175
30548,4588395.944686162
30549,5303836.63980029
30550,11601613.646364342
30551,5163357.227580615
30552,2160673.7996400334
30553,7023491.456470504
30554,11496738.997050418
30555,6491303.015094117
30556,8134742.216711819
30557,8263320.397046252
30558,9975101.327404842
30559,6160392.485979735
30560,6146237.668091561
30561,6955266.197193932
30562,11311407.586467575
30563,4425217.256460952
30564,6762401.105937431
30565,7253747.896431709
30566,7390695.413692815
30567,2242742.343983684
30568,9898451.62763883
30569,9325710.170995437
30570,6409929.57017061
30571,6794863.697812089
30572,5053986.998902624
30573,6199375.975604462
30574,6735441.2759242635
30575,7602125.509865083
30576,4554853.043521736
30577,4457460.34219047
30578,3187184.3167932495
30579,7072903.104985946
30580,4180627.6378188194
30581,5420272.510346337
30582,11802539.525845634
30583,7008894.524975852
30584,4477485.755094102
30585,2853882.399310701
30586,8886066.11380135
30587,6208443.605646136
30588,8004621.473715226
30589,7807004.973533068
30590,13120910.949726798
30591,5347576.984794795
30592,6975023.065431178
30593,8322079.167776456
30594,7671740.135279776
30595,5691807.123927663
30596,6719636.215828848
30597,6199375.975604462
30598,9464500.9272915
30599,10915744.300769811
30600,4767482.356220525
30601,6119520.744757607
30602,2138163.030709945
30603,11739981.745975783
30604,4897646.807676169
30605,6298939.847607985
30606,20956796.578164287
30607,6832204.811593342
30608,8606466.97268072
30609,6217868.535422242
30610,3294488.4159165183
30611,5494276.874582675
30612,7316540.494325161
30613,7667716.394686588
30614,17535234.373467535
30615,7600063.076969786
