id,price_doc_xgb
1,5051138.5
2,5881930.0
3,4807733.0
4,10555294.0
5,11095452.0
6,6776668.0
7,4785647.5
8,4658193.0
9,5611297.5
11,4914892.5
12,4423084.5
13,5252773.5
14,4584968.5
15,4800576.5
16,4915619.0
17,4860714.0
18,5475946.0
19,5608317.5
20,4924581.0
21,6665488.0
22,5183335.0
23,5438708.0
24,4925957.5
25,4938238.5
26,4388220.5
27,5197814.0
28,4622507.0
29,8002476.5
30,4723528.0
31,5962239.5
32,10700025.0
33,4714837.5
34,4682605.5
35,3736322.5
36,4758319.5
37,5021125.5
38,3746906.0
39,4445667.5
41,5610222.0
42,6964212.5
43,5275968.5
44,9068081.0
45,8146704.0
46,5132356.0
47,4581974.5
48,4797698.0
49,5029603.5
50,4506801.0
51,3641450.75
52,5077954.0
53,4993481.0
54,4598710.5
55,4697966.0
56,5020153.5
57,4930140.0
58,4615938.5
59,9325841.0
61,11937970.0
62,6595986.0
63,6146118.5
64,4422481.5
65,6102344.0
66,7746065.5
68,5390134.5
70,5539887.5
71,4390033.0
72,5209203.0
73,4768477.0
74,4707352.5
75,6775195.0
76,4684160.0
77,8255487.0
78,4260321.5
79,6620072.0
80,16377573.0
85,6642155.0
86,5685336.0
88,3670263.0
89,5779655.0
90,10823345.0
91,5237852.0
92,8093511.0
94,7904871.5
95,5524408.0
96,12353059.0
98,5103208.5
99,5599585.0
100,6448630.5
101,5105350.5
102,8346422.0
103,5143042.0
104,4859235.5
105,3695970.75
106,4877207.5
107,5489928.5
109,6207901.0
110,9372793.0
111,5734841.5
112,6717035.5
113,6527458.0
114,5903915.0
115,4271945.0
116,5387647.0
117,7209682.0
118,5957971.0
119,4147067.25
120,8353485.0
123,5017526.0
124,3978201.25
125,10415859.0
126,6686517.0
127,6755233.0
128,4973250.0
129,6649469.0
130,7161275.0
131,4773495.5
132,4401381.0
133,4963636.0
134,5686952.0
135,5803211.0
136,4459246.5
137,6020859.0
138,6778142.0
139,6314284.5
140,4920027.5
141,3870146.75
143,4839672.5
145,4140025.5
146,6312135.5
147,8851339.0
148,14106883.0
149,4884827.5
150,5977395.0
151,4258924.0
152,6065836.0
154,6305282.5
156,6478909.5
157,5994698.5
158,7364911.5
159,6626976.0
160,4859027.0
161,8481927.0
162,4610923.0
163,8565229.0
164,4893556.0
167,5304514.0
168,4831634.5
169,5825024.5
170,5770705.0
171,20687916.0
172,4411306.5
