id,price_doc_GBRT
1,5476652.494187892
2,5401349.649147331
3,5312052.953883105
4,10645390.336084504
5,12559622.85538021
6,8219342.425685739
7,4790813.315003192
8,5562111.815821558
9,5910098.991372641
11,4530513.71694629
12,4093502.5063966475
13,5623785.14510217
14,5212122.231845986
15,4802336.485740353
16,6322183.524805674
17,5810629.280994618
18,5667903.544327585
19,5808156.183012215
20,5122937.824545287
21,6132538.138544551
22,5566760.040738298
23,6535805.128327026
24,4805699.236310881
25,4939415.512731785
26,4978798.050556171
27,5235982.269910612
28,4839739.420410238
29,8310836.643777314
30,5229942.301195468
31,6341677.618026752
32,9859755.8612969
33,4832542.730955001
34,4663931.432335025
35,3843580.641567042
36,5014153.2124777995
37,5154544.736071274
38,3503324.6544559514
39,4598708.665526966
41,5988098.157086465
42,6915081.989521512
43,5298399.06550487
44,8265021.632638607
45,8533245.34258419
46,5893110.601776848
47,5023470.469754449
48,4879341.857193144
49,5156017.841341756
50,4881821.242842465
51,2580163.9010960613
52,5268580.031036921
53,5426221.84088665
54,5180428.876205048
55,4907737.099935422
56,5080998.337708148
57,5454899.635700888
58,4531460.908869732
59,10741714.60708816
61,10974255.408602852
62,6429215.714456169
63,5833033.32525764
64,5074748.759910587
65,5772044.839976748
66,6760913.517647042
68,6264876.943320178
70,5606647.744270071
71,4690057.171579923
72,6508537.064836828
73,4209918.679289602
74,5075590.777402356
75,6403377.854315271
76,5486597.459424734
77,8560201.422532955
78,4412332.421946816
79,6425088.893401435
80,13490790.635490537
85,6546693.462421945
86,5717624.09361352
88,3709989.853399959
89,5742028.255946106
90,10700958.414821513
91,5319139.462520926
92,7723985.55363127
94,7812312.350253221
95,5390061.742962449
96,11432224.495322684
98,5132296.032022601
99,5085774.960077007
100,7158764.188895123
101,4929199.4448572
102,8228936.744079607
103,5475189.065638068
104,5124772.702024114
105,4142615.1881250455
106,5083856.731626954
107,5952999.453316306
109,5902800.971536208
110,9581515.383677255
111,5548590.8056759415
112,6736938.01430602
113,6550781.790606218
114,6046284.353583106
115,4337362.228872042
116,5857749.428574428
117,7046574.500040376
118,6077206.136464616
119,4710233.910165606
120,8423478.746659743
123,5153692.697992039
124,4749644.366188201
125,11377171.743383503
126,6380389.424608036
127,6415640.213865135
128,5129765.380374735
129,7034742.420252413
130,7498194.682245366
131,4698898.677785108
132,4562852.361941819
133,6097080.300119182
134,5563959.629005071
135,5891037.913453034
136,4789307.000601295
137,5933168.433262337
138,6542978.940709132
139,6170635.203039146
140,5082862.902576839
141,3954700.749613046
143,5257555.448655834
145,5092764.128344076
146,6135143.1061782045
147,12125232.954816122
148,14437573.026594764
149,4596733.608291954
150,6070969.155330687
151,4472313.712755392
152,5935667.086648384
154,6328286.21361967
156,6500231.916628512
157,6089601.306066035
158,7249762.537163526
159,7180249.663726039
160,4506163.089874815
161,9516673.470554577
162,5057948.647920937
163,7905600.965972454
164,4783131.271205674
167,5345804.537297374
168,4720322.5260500675
169,5968027.0761498185
170,5704642.367803958
171,18419053.701949578
172,4549742.041650268
173,5034085.8667113185
174,4942266.510033375
175,5383185.118897351
176,4571700.938538847
177,4620662.215277474
178,8699815.563758565
179,10368019.89068825
180,4548414.875232306
181,8910474.30741591
182,9966075.575004537
183,5168288.075434414
184,4895786.2294189595
186,12580288.699395651
187,4260292.818880651
188,6198721.711549491
189,5137548.152601055
190,5321216.512797291
191,13352404.723633055
192,5147982.737282473
194,5138917.6207031645
197,5523643.421096345
198,7216836.041574405
199,5352287.130584716
200,14757371.931659125
201,5848565.956114287
202,4701846.210688799
203,4961713.989666235
204,9963269.91465849
