id,price_doc_rf
1,5394870.1382676065
2,5234845.407924984
3,5439849.697926127
4,10950976.157859676
5,11887509.310431475
6,8128982.798700493
7,4778104.464203531
8,5235627.958640578
9,5826003.924890559
11,4691080.620670595
12,4825432.5696271565
13,5813051.240649749
14,5481854.523971147
15,5253472.850104644
16,5898612.950670347
17,5643410.047322889
18,5414773.315470282
19,6968292.72113087
20,5176945.202786489
21,6554034.389865992
22,5395030.642229221
23,5933026.432135986
24,4822728.657039925
25,5464530.2923036525
26,5136680.412982093
27,5211687.886737283
28,4936515.589650694
29,8520119.627277266
30,5307386.864495535
31,5926961.116984345
32,10635572.109935293
33,5198892.730228476
34,4796940.974436592
35,4787373.82696282
36,5349257.23746435
37,5253625.50371597
38,4243190.805218877
39,4936245.52910842
41,6352615.360711621
42,6949961.134772201
43,5396391.276431504
44,8923377.230927184
45,8351184.6238025725
46,5535701.885912909
47,5295696.788506374
48,5032710.692687889
49,5016703.052848228
50,5247765.381539879
51,2914590.8402596493
52,5083700.742878438
53,5173613.273541829
54,6193772.664648347
55,5191462.816286996
56,5250706.662356025
57,3207317.71912241
58,4803444.768363553
59,10019911.994127952
61,11976738.64825292
62,6501161.924806938
63,5348005.891497575
64,4913664.504131153
65,6054487.716988717
66,6359704.566124861
68,7405417.595660137
70,5237474.535819656
71,4803948.017468595
72,5247651.560089108
73,4802342.645373737
74,5204501.569465787
75,6385359.496910245
76,5288950.460524461
77,8443051.571345456
78,4634174.15430761
79,6590177.164477309
80,19531509.544418868
85,6078949.414845768
86,5424612.846436737
88,4834908.6173901595
89,5853861.203055425
90,10538510.848243184
91,5321265.512386693
92,8221704.443536557
94,8152184.480873358
95,5410030.316844371
96,9796887.8764034
98,5354203.7363975365
99,5355481.716724544
100,5920397.095945881
101,4940022.965144217
102,7448377.81950768
103,5308430.934948711
104,5280557.693038297
105,4701093.251936798
106,5227041.039495474
107,6956033.388674243
109,5459576.799851132
110,10580926.418266334
111,5367863.399289179
112,7669227.749051801
113,7718391.211390569
114,6053247.029314313
115,4746384.056581646
116,6532762.644580925
117,6872391.302136606
118,6360289.2461972
119,4816282.933632643
120,8670135.67459755
123,5237387.905878826
124,4816087.608847659
125,10090982.292158403
126,7445495.294188829
127,7033764.839075676
128,5344222.031348783
129,7782128.101856293
130,8571919.528826687
131,5167181.856641791
132,4986923.238641338
133,5028130.765841493
134,5976092.795620857
135,5835497.991405771
136,5289154.225100076
137,6576168.5075239865
138,7539206.917025804
139,7026270.236142473
140,5228228.766464352
141,3970295.5220985017
143,5202885.484878563
145,4166955.8856091015
146,6733555.36497416
147,8886990.371465433
148,14967957.210996335
149,4841822.913784952
150,6180845.0260977475
151,4669604.693216226
152,6112052.057484575
154,5750945.053659128
156,6726165.285081676
157,6313447.999689496
158,7170530.6061063595
159,9011084.342852404
160,4929610.1708360175
161,8156115.3260705415
162,5347640.509483275
163,8980614.203738306
164,5502271.862032638
167,5379482.309648869
168,4910693.421075749
169,6022527.552934911
170,5341050.221526569
171,18776759.776704017
172,4828467.28132348
173,5249084.944609277
174,5020160.062853842
175,5345202.819788245
176,4992906.562964147
177,5423751.2686610455
178,10313247.673530107
179,10855219.64151407
180,4918533.557544794
181,4471120.582814476
182,10477615.470841995
183,5345843.340121102
184,4986637.010042899
186,13537570.995454958
187,4602991.913158642
188,7001515.624482783
189,5250994.605072546
190,5729736.516031311
191,10696591.744952
192,5118679.069941316
194,5262073.7604954755
197,6315407.66412411
198,7826656.474658981
199,6295026.308928278
200,13377003.168944376
201,6277877.232566147
202,4944201.595112348
203,5195807.965401755
204,11011938.554860076
205,5343354.74843105
206,6225201.318550618
207,10020821.124122787
208,4794984.540408184
209,9163730.86301256
211,5162987.456217631
212,5673109.990496349
213,6236272.408739825
214,6706425.975416766
215,5633268.8179846015
216,5228896.964621672
218,7176256.111491659
219,3279831.6273742258
221,8319311.257531495
222,5344914.646318826
223,11399979.13654833
225,5448308.02437471
226,7713783.124899108
227,6187206.236876499
228,1374876.2923605223
229,1395894.1853389593
230,4882133.110170751
231,5225644.390074212
232,5420066.479085116
233,5258040.995910355
235,6418046.551052549
237,6864687.133781673
238,5002837.125426003
239,5138221.5948990835
240,5088847.319678611
241,5847249.548837574
242,6364629.5877313325
243,5114390.522068468
244,6095908.826787518
245,4831610.408773869
246,9768315.076756202
247,5432598.926277882
248,5362724.538675019
249,7812932.035247583
251,3735213.0696758064
252,11669201.96115635
253,7766836.017497008
254,5897464.504287415
255,5663449.842707243
256,5357740.246769214
257,5843704.247576254
258,5372199.359579581
259,6513076.480707537
260,4842075.131167434
261,5239679.892452351
262,5162774.463107656
263,14297323.19053867
264,4940672.763910506
265,9754503.717064619
266,5408375.697025411
267,4756970.634632122
268,5422078.978143604
269,5426435.487686625
270,4810379.458445422
271,7117045.524616245
272,1949440.1007520065
273,5394393.2333281385
274,5202479.759538896
275,6068000.133223266
277,5890010.35564167
278,5943141.994548723
279,9089754.46817542
280,9352850.23109834
281,10643328.562988533
282,4960862.138885364
283,4835236.009983087
284,5350575.083440981
286,4681897.174051815
287,8253579.855988048
288,5425501.790209857
289,5145965.983155027
290,5405318.87250011
291,5392313.931220365
292,4006251.581705933
293,4602998.699991667
294,2504290.2927636146
296,5382514.927592847
297,5378277.702878428
298,21524901.337127145
299,6314039.719909619
300,5283441.815058075
302,5342051.500735438
304,5101130.074943261
305,5443923.7906862
306,5381121.729382358
307,7859951.429803128
308,7412326.672110161
309,9952711.945776459
310,5836557.776051398
311,5285138.25888413
312,12400733.490172923
314,5119101.210520764
315,5329273.421116959
316,5336826.901071367
317,7619962.600726911
318,3645520.162068047
320,5957489.343549885
321,5160023.181539917
322,6738830.684400618
324,5441372.491188663
325,5309786.182372056
326,10617678.611119788
327,6560980.835717539
328,10193695.569213947
329,13947803.975639211
330,4544438.413573499
331,5995299.086159591
334,5310614.85064583
335,3961316.1810023882
336,6576779.048169929
337,5417093.023376258
338,6258797.632379716
339,4319152.804688499
340,5679868.359592581
341,6408030.228422527
342,6097521.619903063
343,5307765.730524385
344,3977630.003565813
345,5284452.021162607
346,4800019.789582988
347,7496749.974183724
348,5992224.832789298
350,6949395.639993891
351,10142576.368114145
352,11268650.367180137
354,5506710.416061186
355,6123958.193648629
356,5984234.5992293
357,9302334.260362063
358,5345361.330978934
359,7950454.756202832
361,5218887.863130751
363,11970875.186840877
364,6127626.999291052
367,7145845.006940634
368,5924002.686257065
369,5452199.305355869
370,4721851.743787077
372,6362947.458068763
373,9632326.035433229
374,5660951.00252314
376,5212949.614757252
377,4667017.996851438
378,9485832.89664255
379,10557178.13412153
380,5405462.741494679
381,4761823.877372312
382,7152499.971746531
383,5515172.207426705
384,5446202.738615249
387,5481587.1569365
388,8499854.739642205
389,5189003.215364383
390,5856813.17603172
391,4561576.633488572
392,5823649.888479033
393,5356125.053211669
394,10345703.96918042
395,7961516.158949745
396,5398945.193271196
397,7439279.856519325
398,4410694.600958466
399,4886338.26628102
400,8484430.371517237
401,5964945.899306268
402,4849217.710207652
403,4959168.986301801
404,4130277.613624029
406,5035335.415162506
407,7807589.942297536
408,6320967.979928269
409,6102448.317732208
410,8465477.316822499
411,5195806.121208998
412,7413679.868895131
413,8592911.80945249
414,5271288.135313197
416,4849805.439600014
417,4157881.9220006247
418,5328915.745717496
419,5424502.585673612
420,7899960.756681234
421,5158947.1422047075
423,7491757.54072259
424,5038091.15417386
425,10605731.210086027
426,5390981.736899453
427,4159125.849212107
428,5807621.5978194745
429,5339908.295897684
431,8546003.361241525
432,6899200.137827831
433,4940843.947074961
435,10683710.221652599
436,14148570.305512555
437,5358062.494840852
438,10332511.84650219
439,9261026.216443475
440,9213049.287321592
441,5167652.061152303
442,22189613.680583492
443,5269993.271698983
444,5250099.83003172
445,5004631.507527508
446,6105933.183861968
448,5386963.938235374
451,6838973.18034489
452,5399474.489818958
453,4612943.343876748
454,5405976.87195686
455,22673933.508222662
456,6566392.519257999
457,5382452.361307531
458,4842310.219973198
459,5223025.460958897
460,5377492.610094519
461,11176343.971020807
462,6937257.291534113
463,5245919.087660194
464,5732910.524886181
465,5403726.01665502
466,5396431.196034218
467,11142418.928637788
469,5264881.822441525
471,6919279.990504095
472,5554640.752122067
473,3975764.057295508
474,6128157.555790973
475,6201755.291520038
476,5298211.073065263
477,6456859.911314667
478,4200878.162937354
480,4833706.832487338
481,11675442.025143944
482,5398677.240511315
483,5326985.560743763
484,4872111.558638835
485,5223616.85648494
486,5062612.1445520995
488,9815700.72666643
489,5230905.984694763
490,9575287.14933542
491,5754488.020714739
492,12874789.008236669
493,5069628.861989656
494,5420271.078714334
495,5213007.500805163
496,6991213.077406787
497,4401178.272045858
498,9509481.641512563
500,6121097.303856575
501,5953291.249654348
502,5317883.406585309
503,12223676.433819575
505,5401490.878289086
506,5520839.552025028
508,6455915.618752092
